y;1;2;3;4;5;6;7;8;9;10
1;10;3;8;8;2;3;0;;;
2;1;5;0;6;0;0;;;;
3;3;0;6;0;3;;;;;
4;;;;;;;;;;
5;;;;;;;;;;
6;;;;;;;;;0;0
7;;;;0;8;0;;0;0;0
8;;;;7;;0;4;0;6;1
9;;;;0;;6;0;8;0;5
10;;;;10;6;0;0;0;8;7
