y;1;2;3;4;5;6;7;8;9;10
1;;;0;5;;;0;;5;
2;14;12;2;;;;0;;;
3;1;0;;;;2;;;;
4;2;;7;3;5;0;;;;
5;1;11;1;1;;;;;;0
6;;;;;;;;;;0
7;;;;4;;0;;4;;
8;6;0;0;7;5;;;6;;0
9;;;5;;8;8;;;6;1
10;0;;0;;3;6;8;0;0;0
