y;1;2;3;4;5;6;7;8;9;10
1;1;0;7;6;;;;;1;
2;1;4;0;1;;;;;7;
3;;9;0;0;;;;;;
4;;0;0;10;;1;5;1;0;0
5;;;;1;;;5;0;5;
6;;;4;4;;0;1;3;4;
7;;;9;10;;0;0;4;;1
8;;;;;4;1;;5;0;0
9;;;;;;;;;;3
10;;;0;;;;;;0;
