y;1;2;3;4;5;6;7;8;9;10
1;0;2;0;;;;;;;
2;0;0;0;;;;;;;
3;0;1;0;;;;;;;
4;3;0;0;;;;;;;
5;6;8;0;;;;;;0;9
6;0;0;0;;;;7;0;0;3
7;8;9;9;;1;;;;0;1
8;0;8;2;;;;0;2;0;5
9;;;;;;;0;6;4;0
10;;;;;;;0;6;0;6
