y;1;2;3;4;5;6;7;8;9;10
1;5;0;1;0;;;;;;
2;2;7;0;1;;;;;;
3;0;0;0;0;;;;;;
4;0;0;1;0;;;;;;
5;0;0;0;;;;;;;
6;;;;;;;;;;
7;;;;;;;;;;
8;0;1;12;0;1;0;0;0;0;0
9;0;0;2;0;0;4;0;0;0;
10;0;1;4;;6;1;1;0;;
