y;1;2;3;4;5;6;7;8;9;10
1;;;;;;;;10;;
2;;;;;;4;;;0;
3;0;0;0;;;;;;;0
4;3;0;0;;;;5;0;;0
5;0;1;10;;;6;;0;;2
6;0;0;0;;;0;;;5;2
7;0;0;0;;;;11;;;0
8;0;3;8;;;2;7;0;0;
9;0;0;0;;;;;0;;2
10;0;2;2;;;;;;;
