y;1;2;3;4;5;6;7;8;9;10
1;;;;;;;;;;
2;;;;;;;;;;
3;;;;;;;;;;
4;;;;;;1;1;0;;
5;0;5;7;4;;;;;;
6;2;10;6;13;;0;;2;9;
7;0;0;2;0;;;0;;;0
8;5;0;4;6;;0;4;0;;1
9;0;5;0;13;0;3;;1;10;
10;0;12;10;0;1;1;8;0;;4
