y;1;2;3;4;5;6;7;8;9;10
1;0;;;0;0;;;;1;0
2;;;;0;0;;;0;;
3;0;;7;0;;;;3;;
4;6;;;0;;;;;1;1
5;0;;0;5;;0;2;1;1;0
6;3;0;1;0;10;0;0;5;2;
7;;;1;;;;;;;
8;;;;;;;1;3;4;0
9;;5;;;;;4;;;1
10;;;;0;;;1;1;;0
