y;1;2;3;4;5;6;7;8;9;10
1;0;3;7;7;;;;;;
2;0;;0;5;;;;;;
3;0;8;0;9;;;;;;
4;5;5;0;5;;;;;;
5;13;0;7;0;;;;;;
6;4;0;0;;;;;;;
7;;0;0;;;;;0;0;
8;;;;5;0;0;0;7;0;0
9;;;;0;1;4;3;0;2;10
10;;;;;4;2;0;0;0;0
