y;1;2;3;4;5;6;7;8;9;10
1;1;6;0;2;;0;;;;
2;;0;4;0;;;3;;14;
3;;;;;;0;;;3;
4;;0;;;;;0;;;3
5;2;0;;;;0;;0;0;1
6;4;1;;;;;;0;;
7;6;0;;;;;0;;0;0
8;0;2;0;;;0;;1;;
9;0;3;7;0;7;2;0;1;;
10;2;;;;;7;;;;3
