y;1;2;3;4;5;6;7;8;9;10
1;;;8;7;2;;;12;3;3
2;0;0;;0;0;0;0;;2;
3;0;5;6;;;;0;4;6;0
4;;12;0;;;;;;2;
5;10;;;0;0;;;;;
6;2;1;8;0;;;;;0;
7;0;0;1;4;;;;0;0;
8;6;8;4;;;;;;;
9;0;2;0;;;;0;;;
10;;;;;;;0;;;
