y;1;2;3;4;5;6;7;8;9;10
1;;;;;;2;;8;;4
2;;;;;;;0;;0;
3;;;;;;0;;1;;
4;;;;;;;6;;2;
5;;;;;;0;;;0;
6;9;2;2;14;;;5;;1;
7;3;0;1;13;5;2;;;0;0
8;6;4;0;0;0;1;;0;6;
9;0;0;6;0;0;0;;;;
10;4;;9;7;9;;;0;;
