y;1;2;3;4;5;6;7;8;9;10
1;0;0;0;;;;;;;
2;0;0;1;;;;;;;
3;0;5;2;;;;;;;
4;3;0;1;;;;;;11;
5;2;0;3;;0;;0;6;1;
6;;1;0;;;;;;0;
7;;8;10;;;2;0;0;;1
8;;0;1;;;0;;0;1;0
9;;4;0;;0;6;4;0;8;0
10;;;;;0;;;0;;
