y;1;2;3;4;5;6;7;8;9;10
1;0;0;0;;;;;4;0;2
2;;;4;;;;0;;;
3;0;2;;;;0;;4;9;1
4;;;;5;;;6;;;5
5;1;;;0;;;;0;;
6;10;;0;;;;4;2;0;0
7;;;;;;1;0;7;4;
8;0;;0;0;0;0;;;;
9;;0;;;0;0;;6;0;
10;;0;;;;0;7;0;;3
