y;1;2;3;4;5;6;7;8;9;10
1;0;0;3;2;0;;;;;3
2;0;0;2;4;0;;;;;
3;1;0;6;;;;;0;;
4;4;;;;;;;;;
5;3;0;4;;2;0;;;1;0
6;5;0;0;;;;;0;;
7;;;1;0;;;;;2;1
8;;0;0;;;;2;2;;
9;;0;;0;3;;0;0;0;
10;0;;;;;5;0;;0;
