y;1;2;3;4;5;6;7;8;9;10
1;;1;1;0;;;;;;
2;;0;;;;;;;;
3;0;;;;;;;;;
4;1;2;0;;;;;;;
5;;0;3;5;;;;;;
6;;6;;;;;;;9;6
7;0;2;2;;;;;;1;3
8;0;0;6;18;0;0;0;1;0;0
9;4;3;6;1;0;1;1;0;2;4
10;;;;7;2;0;0;0;0;
