y;1;2;3;4;5;6;7;8;9;10
1;0;1;0;;0;;0;;3;
2;3;0;0;0;;;0;;;0
3;5;;;;;9;5;;0;0
4;0;0;;;;;;;;1
5;5;0;;;;;;;;6
6;8;;;;;;11;;;0
7;;;;;;;;0;1;
8;;;;0;;0;6;;;0
9;;;0;0;0;;6;2;0;3
10;;;0;0;0;;;0;0;0
