y;1;2;3;4;5;6;7;8;9;10
1;0;2;;1;;4;8;0;;
2;5;0;0;9;2;0;0;0;;
3;;0;7;0;2;0;;13;0;2
4;0;10;3;13;0;6;;2;;
5;;;;;;;10;;10;1
6;;;6;;;;;;;9
7;;8;;3;;;;;;0
8;0;;4;;;;;;;0
9;;;;;0;0;;;;11
10;;;;;;0;;;;1
