y;1;2;3;4;5;6;7;8;9;10
1;1;4;;;12;12;;;;0
2;;5;1;;;;;0;3;0
3;7;0;;;;0;;;2;0
4;6;0;;;;;;;0;0
5;2;2;;;;;;0;7;8
6;;;;;;0;5;0;0;1
7;3;;;;;0;;5;0;0
8;0;;;;;;4;0;0;
9;;;;;;;1;5;7;0
10;;;;;;;;2;0;0
