y;1;2;3;4;5;6;7;8;9;10
1;11;2;;7;;;;;;
2;0;0;2;;;;;1;;0
3;10;0;;;;;;4;;
4;4;7;4;5;;;;;5;
5;;0;0;12;;;;;1;0
6;0;;;1;;;;;1;0
7;0;;0;0;;;;6;;
8;3;;;3;;5;;0;0;9
9;;;;0;;0;;;3;
10;;;;3;0;;;;4;
