y;1;2;3;4;5;6;7;8;9;10
1;0;0;3;0;;;;;;
2;1;0;0;;;;;;;
3;0;0;0;14;1;;;;;
4;0;0;0;0;1;;;;;
5;0;0;0;;0;;;;;
6;0;1;0;0;0;0;;;;
7;1;7;0;0;0;0;;;;
8;1;;0;;0;;;;;
9;0;;1;12;;2;;;;
10;;0;6;0;5;7;;;;
