y;1;2;3;4;5;6;7;8;9;10
1;1;0;0;9;;;;;;
2;3;3;;0;;;;;;
3;2;3;;3;;;;;;
4;1;0;;0;;;;;;
5;0;0;0;10;;;;;;
6;3;0;0;4;;;;;;
7;9;8;;;;;;;;
8;6;;;4;3;2;0;0;7;
9;0;0;0;2;0;3;3;0;;
10;2;6;6;0;5;1;0;0;;
