y;1;2;3;4;5;6;7;8;9;10
1;;;;;;;;;;
2;;;2;;;;;;;
3;0;0;0;0;;;;;;
4;0;0;0;6;;;;;;
5;;0;0;;;;;;;
6;10;13;2;;;;;;;
7;0;0;7;0;;;5;0;0;0
8;0;;5;2;;0;0;0;0;0
9;6;7;0;0;;0;0;3;0;0
10;;4;;;3;2;2;0;0;
