y;1;2;3;4;5;6;7;8;9;10
1;1;0;;;;;;;;
2;;;;;;;;0;10;
3;0;0;5;;;;;;1;
4;;0;;;;;;;;
5;0;4;0;;;;;;;
6;0;0;3;;;;;0;0;
7;;0;;0;0;;0;3;0;1
8;0;4;0;;0;1;;0;7;0
9;5;3;0;0;;3;1;;0;0
10;5;;5;;4;;1;0;;
