"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";4,38933390309515;0,0284113926305307;154,49203635229;0
"summer_mean_from0";-0,687338775115349;0,0554519854454776;-12,3952058631186;2,77432345025002e-35
"snow_days_from0";0,00628672297536447;0,000935203858317958;6,72230222261022;1,78875447206471e-11
"last_snowday_from0";-0,00633623292438703;0,000955940028214084;-6,62827451239234;3,39633429826101e-11
"mowingM";0,0720118972744043;0,0355256239588286;2,02704102700238;0,0426582170893519
